category,command,type,description,permissions,entrypoint,implementation,options_or_args,status,notes
Booster voice room,customId:booster_create,button,Điều khiển Booster VIP voice room.,Theo handler/customId và userId trong flow,src/events/client/interactionCreate.js,src/utils/boosterVoiceHandlers.js:982,booster_create,active,Pattern phát hiện trong handler/collector.
Booster voice room,customId:booster_create,button,Điều khiển Booster VIP voice room.,Theo handler/customId và userId trong flow,src/events/client/interactionCreate.js,src/commands/booster/setbooster.js:57,booster_create,active,Pattern phát hiện trong handler/collector.
Booster voice room,customId:booster_delete,button,Điều khiển Booster VIP voice room.,Theo handler/customId và userId trong flow,src/events/client/interactionCreate.js:192,src/events/client/interactionCreate.js:192,booster_delete,active,Route trực tiếp trong interactionCreate.
Booster voice room,customId:booster_delete,button,Điều khiển Booster VIP voice room.,Theo handler/customId và userId trong flow,src/events/client/interactionCreate.js,src/utils/boosterVoiceHandlers.js:1057,booster_delete,active,Pattern phát hiện trong handler/collector.
Booster voice room,customId:booster_delete,button,Điều khiển Booster VIP voice room.,Theo handler/customId và userId trong flow,src/events/client/interactionCreate.js,src/commands/booster/setbooster.js:62,booster_delete,active,Pattern phát hiện trong handler/collector.
Booster voice room,customId:boostvc_*,button,Điều khiển Booster VIP voice room.,Theo handler/customId và userId trong flow,src/events/client/interactionCreate.js:186,src/events/client/interactionCreate.js:186,boostvc_*,active,Route trực tiếp trong interactionCreate.
Booster voice room,customId:boostvc_*,button,Điều khiển Booster VIP voice room.,Theo handler/customId và userId trong flow,src/events/client/interactionCreate.js,src/utils/boosterVoiceHandlers.js:297,boostvc_*,active,Pattern phát hiện trong handler/collector.
Booster voice room,customId:boostvc_add_{...},button,Điều khiển Booster VIP voice room.,Theo handler/customId và userId trong flow,src/events/client/interactionCreate.js,src/utils/boosterVoiceHandlers.js:156,boostvc_add_{...},active,Pattern phát hiện trong handler/collector.
Booster voice room,customId:boostvc_autolock_{...},button,Điều khiển Booster VIP voice room.,Theo handler/customId và userId trong flow,src/events/client/interactionCreate.js,src/utils/boosterVoiceHandlers.js:204,boostvc_autolock_{...},active,Pattern phát hiện trong handler/collector.
Booster voice room,customId:boostvc_clearchat_{...},button,Điều khiển Booster VIP voice room.,Theo handler/customId và userId trong flow,src/events/client/interactionCreate.js,src/utils/boosterVoiceHandlers.js:185,boostvc_clearchat_{...},active,Pattern phát hiện trong handler/collector.
Booster voice room,customId:boostvc_help_{...},button,Điều khiển Booster VIP voice room.,Theo handler/customId và userId trong flow,src/events/client/interactionCreate.js,src/utils/boosterVoiceHandlers.js:142,boostvc_help_{...},active,Pattern phát hiện trong handler/collector.
Booster voice room,customId:boostvc_hidden_{...},button,Điều khiển Booster VIP voice room.,Theo handler/customId và userId trong flow,src/events/client/interactionCreate.js,src/utils/boosterVoiceHandlers.js:127,boostvc_hidden_{...},active,Pattern phát hiện trong handler/collector.
Booster voice room,customId:boostvc_list_{...},button,Điều khiển Booster VIP voice room.,Theo handler/customId và userId trong flow,src/events/client/interactionCreate.js,src/utils/boosterVoiceHandlers.js:166,boostvc_list_{...},active,Pattern phát hiện trong handler/collector.
Booster voice room,customId:boostvc_lock_{...},button,Điều khiển Booster VIP voice room.,Theo handler/customId và userId trong flow,src/events/client/interactionCreate.js,src/utils/boosterVoiceHandlers.js:137,boostvc_lock_{...},active,Pattern phát hiện trong handler/collector.
Booster voice room,customId:boostvc_modal_*,modal,Điều khiển Booster VIP voice room.,Theo handler/customId và userId trong flow,src/events/client/interactionCreate.js:373,src/events/client/interactionCreate.js:373,boostvc_modal_*,active,Route trực tiếp trong interactionCreate.
Booster voice room,customId:boostvc_modal_*,modal,Điều khiển Booster VIP voice room.,Theo handler/customId và userId trong flow,src/events/client/interactionCreate.js,src/utils/boosterVoiceHandlers.js:845,boostvc_modal_*,active,Pattern phát hiện trong handler/collector.
Booster voice room,customId:boostvc_modal_add_{...},modal,Điều khiển Booster VIP voice room.,Theo handler/customId và userId trong flow,src/events/client/interactionCreate.js,src/utils/boosterVoiceHandlers.js:337,boostvc_modal_add_{...},active,Pattern phát hiện trong handler/collector.
Booster voice room,customId:boostvc_modal_rename_{...},modal,Điều khiển Booster VIP voice room.,Theo handler/customId và userId trong flow,src/events/client/interactionCreate.js,src/utils/boosterVoiceHandlers.js:671,boostvc_modal_rename_{...},active,Pattern phát hiện trong handler/collector.
Booster voice room,customId:boostvc_mute_{...},button,Điều khiển Booster VIP voice room.,Theo handler/customId và userId trong flow,src/events/client/interactionCreate.js,src/utils/boosterVoiceHandlers.js:175,boostvc_mute_{...},active,Pattern phát hiện trong handler/collector.
Booster voice room,customId:boostvc_mute_select_{...},select,Điều khiển Booster VIP voice room.,Theo handler/customId và userId trong flow,src/events/client/interactionCreate.js,src/utils/boosterVoiceHandlers.js:489,boostvc_mute_select_{...},active,Pattern phát hiện trong handler/collector.
Booster voice room,customId:boostvc_public_{...},button,Điều khiển Booster VIP voice room.,Theo handler/customId và userId trong flow,src/events/client/interactionCreate.js,src/utils/boosterVoiceHandlers.js:132,boostvc_public_{...},active,Pattern phát hiện trong handler/collector.
Booster voice room,customId:boostvc_region_{...},button,Điều khiển Booster VIP voice room.,Theo handler/customId và userId trong flow,src/events/client/interactionCreate.js,src/utils/boosterVoiceHandlers.js:199,boostvc_region_{...},active,Pattern phát hiện trong handler/collector.
Booster voice room,customId:boostvc_region_select_{...},select,Điều khiển Booster VIP voice room.,Theo handler/customId và userId trong flow,src/events/client/interactionCreate.js,src/utils/boosterVoiceHandlers.js:655,boostvc_region_select_{...},active,Pattern phát hiện trong handler/collector.
Booster voice room,customId:boostvc_remove_{...},button,Điều khiển Booster VIP voice room.,Theo handler/customId và userId trong flow,src/events/client/interactionCreate.js,src/utils/boosterVoiceHandlers.js:161,boostvc_remove_{...},active,Pattern phát hiện trong handler/collector.
Booster voice room,customId:boostvc_remove_select_{...},select,Điều khiển Booster VIP voice room.,Theo handler/customId và userId trong flow,src/events/client/interactionCreate.js,src/utils/boosterVoiceHandlers.js:378,boostvc_remove_select_{...},active,Pattern phát hiện trong handler/collector.
Booster voice room,customId:boostvc_rename_{...},button,Điều khiển Booster VIP voice room.,Theo handler/customId và userId trong flow,src/events/client/interactionCreate.js,src/utils/boosterVoiceHandlers.js:194,boostvc_rename_{...},active,Pattern phát hiện trong handler/collector.
Booster voice room,customId:boostvc_togglelist_{...},button,Điều khiển Booster VIP voice room.,Theo handler/customId và userId trong flow,src/events/client/interactionCreate.js,src/utils/boosterVoiceHandlers.js:151,boostvc_togglelist_{...},active,Pattern phát hiện trong handler/collector.
Booster voice room,customId:boostvc_unmute_{...},button,Điều khiển Booster VIP voice room.,Theo handler/customId và userId trong flow,src/events/client/interactionCreate.js,src/utils/boosterVoiceHandlers.js:180,boostvc_unmute_{...},active,Pattern phát hiện trong handler/collector.
Booster voice room,customId:boostvc_unmute_select_{...},select,Điều khiển Booster VIP voice room.,Theo handler/customId và userId trong flow,src/events/client/interactionCreate.js,src/utils/boosterVoiceHandlers.js:523,boostvc_unmute_select_{...},active,Pattern phát hiện trong handler/collector.
Khác/Nội bộ,customId:addid_cancel_*,button,Xác nhận/reset/rejoin UID chờ.,Theo handler/customId và userId trong flow,src/events/client/interactionCreate.js:111,src/events/client/interactionCreate.js:111,addid_cancel_*,active,Route trực tiếp trong interactionCreate.
Khác/Nội bộ,customId:addid_cancel_*,button,Xác nhận/reset/rejoin UID chờ.,Theo handler/customId và userId trong flow,src/events/client/interactionCreate.js,src/utils/quanlyHandlers.js:75,addid_cancel_*,active,Pattern phát hiện trong handler/collector.
Khác/Nội bộ,customId:addid_confirm_*,button,Xác nhận/reset/rejoin UID chờ.,Theo handler/customId và userId trong flow,src/events/client/interactionCreate.js:110,src/events/client/interactionCreate.js:110,addid_confirm_*,active,Route trực tiếp trong interactionCreate.
Khác/Nội bộ,customId:addid_confirm_*,button,Xác nhận/reset/rejoin UID chờ.,Theo handler/customId và userId trong flow,src/events/client/interactionCreate.js,src/utils/quanlyHandlers.js:75,addid_confirm_*,active,Pattern phát hiện trong handler/collector.
Khác/Nội bộ,customId:addid_rejoin_*,button,Xác nhận/reset/rejoin UID chờ.,Theo handler/customId và userId trong flow,src/events/client/interactionCreate.js:112,src/events/client/interactionCreate.js:112,addid_rejoin_*,active,Route trực tiếp trong interactionCreate.
Khác/Nội bộ,customId:addid_rejoin_*,button,Xác nhận/reset/rejoin UID chờ.,Theo handler/customId và userId trong flow,src/events/client/interactionCreate.js,src/utils/quanlyHandlers.js:76,addid_rejoin_*,active,Pattern phát hiện trong handler/collector.
Khác/Nội bộ,customId:addid_reset_*,button,Xác nhận/reset/rejoin UID chờ.,Theo handler/customId và userId trong flow,src/events/client/interactionCreate.js:111,src/events/client/interactionCreate.js:111,addid_reset_*,active,Route trực tiếp trong interactionCreate.
Khác/Nội bộ,customId:addid_reset_*,button,Xác nhận/reset/rejoin UID chờ.,Theo handler/customId và userId trong flow,src/events/client/interactionCreate.js,src/utils/quanlyHandlers.js:76,addid_reset_*,active,Pattern phát hiện trong handler/collector.
Khác/Nội bộ,customId:addid_resetcancel_*,button,Xác nhận/reset/rejoin UID chờ.,Theo handler/customId và userId trong flow,src/events/client/interactionCreate.js:112,src/events/client/interactionCreate.js:112,addid_resetcancel_*,active,Route trực tiếp trong interactionCreate.
Khác/Nội bộ,customId:addid_resetcancel_*,button,Xác nhận/reset/rejoin UID chờ.,Theo handler/customId và userId trong flow,src/events/client/interactionCreate.js,src/utils/quanlyHandlers.js:77,addid_resetcancel_*,active,Pattern phát hiện trong handler/collector.
Khác/Nội bộ,customId:album_*,button,Điều hướng album ảnh.,Theo handler/customId và userId trong flow,src/events/client/interactionCreate.js:167,src/events/client/interactionCreate.js:167,album_*,active,Route trực tiếp trong interactionCreate.
Khác/Nội bộ,customId:album_*,button,Điều hướng album ảnh.,Theo handler/customId và userId trong flow,src/events/client/interactionCreate.js,src/utils/albumHandlers.js:14,album_*,active,Pattern phát hiện trong handler/collector.
Khác/Nội bộ,customId:album_delete_{...}_{...},button,Điều hướng album ảnh.,Theo handler/customId và userId trong flow,src/events/client/interactionCreate.js,src/utils/albumHandlers.js:176,album_delete_{...}_{...},active,Pattern phát hiện trong handler/collector.
Khác/Nội bộ,customId:album_next_{...}_{...},button,Điều hướng album ảnh.,Theo handler/customId và userId trong flow,src/events/client/interactionCreate.js,src/utils/albumHandlers.js:164,album_next_{...}_{...},active,Pattern phát hiện trong handler/collector.
Khác/Nội bộ,customId:album_page_{...},button,Điều hướng album ảnh.,Theo handler/customId và userId trong flow,src/events/client/interactionCreate.js,src/utils/albumHandlers.js:159,album_page_{...},active,Pattern phát hiện trong handler/collector.
Khác/Nội bộ,customId:album_prev_{...}_{...},button,Điều hướng album ảnh.,Theo handler/customId và userId trong flow,src/events/client/interactionCreate.js,src/utils/albumHandlers.js:154,album_prev_{...}_{...},active,Pattern phát hiện trong handler/collector.
Khác/Nội bộ,customId:all_sizes,button,Flow component all_sizes.,Theo handler/customId và userId trong flow,src/events/client/interactionCreate.js,src/utils/bcqlHandlers.js:469,all_sizes,active,Pattern phát hiện trong handler/collector.
Khác/Nội bộ,customId:cancel_delete_all*,button,Xác nhận/hủy/sửa/xóa thông báo.,Theo handler/customId và userId trong flow,src/events/client/interactionCreate.js:94,src/events/client/interactionCreate.js:94,cancel_delete_all*,active,Route trực tiếp trong interactionCreate.
Khác/Nội bộ,customId:cancel_delete_all*,button,Xác nhận/hủy/sửa/xóa thông báo.,Theo handler/customId và userId trong flow,src/events/client/interactionCreate.js,src/utils/thongbaoHandlers.js:363,cancel_delete_all*,active,Pattern phát hiện trong handler/collector.
Khác/Nội bộ,customId:cancel_edit_*,button,Xác nhận/hủy/sửa/xóa thông báo.,Theo handler/customId và userId trong flow,src/events/client/interactionCreate.js:91,src/events/client/interactionCreate.js:91,cancel_edit_*,active,Route trực tiếp trong interactionCreate.
Khác/Nội bộ,customId:cancel_edit_*,button,Xác nhận/hủy/sửa/xóa thông báo.,Theo handler/customId và userId trong flow,src/events/client/interactionCreate.js,src/utils/thongbaoHandlers.js:95,cancel_edit_*,active,Pattern phát hiện trong handler/collector.
Khác/Nội bộ,customId:canceldeleteall_*,button,Xác nhận/hủy/sửa/xóa thông báo.,Theo handler/customId và userId trong flow,src/events/client/interactionCreate.js:110,src/events/client/interactionCreate.js:110,canceldeleteall_*,active,Route trực tiếp trong interactionCreate.
Khác/Nội bộ,customId:canceldeleteall_*,button,Xác nhận/hủy/sửa/xóa thông báo.,Theo handler/customId và userId trong flow,src/events/client/interactionCreate.js,src/utils/quanlyHandlers.js:67,canceldeleteall_*,active,Pattern phát hiện trong handler/collector.
Khác/Nội bộ,customId:confirm_delete_all*,button,Xác nhận/hủy/sửa/xóa thông báo.,Theo handler/customId và userId trong flow,src/events/client/interactionCreate.js:93,src/events/client/interactionCreate.js:93,confirm_delete_all*,active,Route trực tiếp trong interactionCreate.
Khác/Nội bộ,customId:confirm_delete_all*,button,Xác nhận/hủy/sửa/xóa thông báo.,Theo handler/customId và userId trong flow,src/events/client/interactionCreate.js,src/utils/thongbaoHandlers.js:328,confirm_delete_all*,active,Pattern phát hiện trong handler/collector.
Khác/Nội bộ,customId:confirm_edit_*,button,Xác nhận/hủy/sửa/xóa thông báo.,Theo handler/customId và userId trong flow,src/events/client/interactionCreate.js:91,src/events/client/interactionCreate.js:91,confirm_edit_*,active,Route trực tiếp trong interactionCreate.
Khác/Nội bộ,customId:confirm_edit_*,button,Xác nhận/hủy/sửa/xóa thông báo.,Theo handler/customId và userId trong flow,src/events/client/interactionCreate.js,src/utils/thongbaoHandlers.js:39,confirm_edit_*,active,Pattern phát hiện trong handler/collector.
Khác/Nội bộ,customId:confirmdeleteall_*,button,Xác nhận/hủy/sửa/xóa thông báo.,Theo handler/customId và userId trong flow,src/events/client/interactionCreate.js:109,src/events/client/interactionCreate.js:109,confirmdeleteall_*,active,Route trực tiếp trong interactionCreate.
Khác/Nội bộ,customId:confirmdeleteall_*,button,Xác nhận/hủy/sửa/xóa thông báo.,Theo handler/customId và userId trong flow,src/events/client/interactionCreate.js,src/utils/quanlyHandlers.js:67,confirmdeleteall_*,active,Pattern phát hiện trong handler/collector.
Khác/Nội bộ,customId:delguild_*,button,Xác nhận/hủy/sửa/xóa thông báo.,Theo handler/customId và userId trong flow,src/events/client/interactionCreate.js:93,src/events/client/interactionCreate.js:93,delguild_*,active,Route trực tiếp trong interactionCreate.
Khác/Nội bộ,customId:delguild_*,button,Xác nhận/hủy/sửa/xóa thông báo.,Theo handler/customId và userId trong flow,src/events/client/interactionCreate.js,src/utils/thongbaoHandlers.js:217,delguild_*,active,Pattern phát hiện trong handler/collector.
Khác/Nội bộ,customId:edit_cancel_*,button,Xác nhận/hủy/sửa/xóa thông báo.,Theo handler/customId và userId trong flow,src/events/client/interactionCreate.js:92,src/events/client/interactionCreate.js:92,edit_cancel_*,active,Route trực tiếp trong interactionCreate.
Khác/Nội bộ,customId:edit_cancel_*,button,Xác nhận/hủy/sửa/xóa thông báo.,Theo handler/customId và userId trong flow,src/events/client/interactionCreate.js,src/utils/thongbaoHandlers.js:194,edit_cancel_*,active,Pattern phát hiện trong handler/collector.
Khác/Nội bộ,customId:edit_confirm_*,button,Xác nhận/hủy/sửa/xóa thông báo.,Theo handler/customId và userId trong flow,src/events/client/interactionCreate.js:92,src/events/client/interactionCreate.js:92,edit_confirm_*,active,Route trực tiếp trong interactionCreate.
Khác/Nội bộ,customId:edit_confirm_*,button,Xác nhận/hủy/sửa/xóa thông báo.,Theo handler/customId và userId trong flow,src/events/client/interactionCreate.js,src/utils/thongbaoHandlers.js:116,edit_confirm_*,active,Pattern phát hiện trong handler/collector.
Khác/Nội bộ,customId:leaders_input,button,Flow component leaders_input.,Theo handler/customId và userId trong flow,src/events/client/interactionCreate.js,src/utils/bcqlHandlers.js:532,leaders_input,active,Pattern phát hiện trong handler/collector.
Khác/Nội bộ,customId:lenhquanly_*,button,Flow component lenhquanly_*.,Theo handler/customId và userId trong flow,src/events/client/interactionCreate.js:96,src/events/client/interactionCreate.js:96,lenhquanly_*,active,Route trực tiếp trong interactionCreate.
Khác/Nội bộ,customId:lenhquanly_*,button,Flow component lenhquanly_*.,Theo handler/customId và userId trong flow,src/events/client/interactionCreate.js,src/utils/thongbaoHandlers.js:399,lenhquanly_*,active,Pattern phát hiện trong handler/collector.
Khác/Nội bộ,customId:listbc_view_*,button,Flow component listbc_view_*.,Theo handler/customId và userId trong flow,src/events/client/interactionCreate.js:114,src/events/client/interactionCreate.js:114,listbc_view_*,active,Route trực tiếp trong interactionCreate.
Khác/Nội bộ,customId:listbc_view_*,button,Flow component listbc_view_*.,Theo handler/customId và userId trong flow,src/events/client/interactionCreate.js,src/utils/quanlyHandlers.js:94,listbc_view_*,active,Pattern phát hiện trong handler/collector.
Khác/Nội bộ,customId:listid_*,button,Phân trang/xác nhận trong nhóm quản lý thành viên.,Theo handler/customId và userId trong flow,src/events/client/interactionCreate.js:108,src/events/client/interactionCreate.js:108,listid_*,active,Route trực tiếp trong interactionCreate.
Khác/Nội bộ,customId:listid_*,button,Phân trang/xác nhận trong nhóm quản lý thành viên.,Theo handler/customId và userId trong flow,src/events/client/interactionCreate.js,src/utils/quanlyHandlers.js:51,listid_*,active,Pattern phát hiện trong handler/collector.
Khác/Nội bộ,customId:name_attack1,button,Flow component name_attack1.,Theo handler/customId và userId trong flow,src/events/client/interactionCreate.js,src/utils/bcqlHandlers.js:477,name_attack1,active,Pattern phát hiện trong handler/collector.
Khác/Nội bộ,customId:name_attack2,button,Flow component name_attack2.,Theo handler/customId và userId trong flow,src/events/client/interactionCreate.js,src/utils/bcqlHandlers.js:484,name_attack2,active,Pattern phát hiện trong handler/collector.
Khác/Nội bộ,customId:name_defense,button,Flow component name_defense.,Theo handler/customId và userId trong flow,src/events/client/interactionCreate.js,src/utils/bcqlHandlers.js:491,name_defense,active,Pattern phát hiện trong handler/collector.
Khác/Nội bộ,customId:name_forest,button,Flow component name_forest.,Theo handler/customId và userId trong flow,src/events/client/interactionCreate.js,src/utils/bcqlHandlers.js:498,name_forest,active,Pattern phát hiện trong handler/collector.
Khác/Nội bộ,customId:nlkey_*,button,Phân trang/lọc/tìm kiếm NhacLabs key.,Theo handler/customId và userId trong flow,src/events/client/interactionCreate.js:198,src/events/client/interactionCreate.js:198,nlkey_*,active,Route trực tiếp trong interactionCreate.
Khác/Nội bộ,customId:nlkey_*,button,Phân trang/lọc/tìm kiếm NhacLabs key.,Theo handler/customId và userId trong flow,src/events/client/interactionCreate.js,src/utils/nlListHandlers.js:289,nlkey_*,active,Pattern phát hiện trong handler/collector.
Khác/Nội bộ,customId:nlkey_modal_*,modal,Phân trang/lọc/tìm kiếm NhacLabs key.,Theo handler/customId và userId trong flow,src/events/client/interactionCreate.js:379,src/events/client/interactionCreate.js:379,nlkey_modal_*,active,Route trực tiếp trong interactionCreate.
Khác/Nội bộ,customId:nlkey_modal_pick.{...}.{...}.{...},modal,Phân trang/lọc/tìm kiếm NhacLabs key.,Theo handler/customId và userId trong flow,src/events/client/interactionCreate.js,src/utils/nlListHandlers.js:325,nlkey_modal_pick.{...}.{...}.{...},active,Pattern phát hiện trong handler/collector.
Khác/Nội bộ,customId:nlkey_modal_pick.*,modal,Phân trang/lọc/tìm kiếm NhacLabs key.,Theo handler/customId và userId trong flow,src/events/client/interactionCreate.js,src/utils/nlListHandlers.js:473,nlkey_modal_pick.*,active,Pattern phát hiện trong handler/collector.
Khác/Nội bộ,customId:nlkey_modal_search_{...},modal,Phân trang/lọc/tìm kiếm NhacLabs key.,Theo handler/customId và userId trong flow,src/events/client/interactionCreate.js,src/utils/nlListHandlers.js:306,nlkey_modal_search_{...},active,Pattern phát hiện trong handler/collector.
Khác/Nội bộ,customId:nlkey_modal_search_*,modal,Phân trang/lọc/tìm kiếm NhacLabs key.,Theo handler/customId và userId trong flow,src/events/client/interactionCreate.js,src/utils/nlListHandlers.js:443,nlkey_modal_search_*,active,Pattern phát hiện trong handler/collector.
Khác/Nội bộ,customId:nlkey_next.{...},button,Phân trang/lọc/tìm kiếm NhacLabs key.,Theo handler/customId và userId trong flow,src/events/client/interactionCreate.js,src/utils/nlListHandlers.js:178,nlkey_next.{...},active,Pattern phát hiện trong handler/collector.
Khác/Nội bộ,customId:nlkey_pick.{...},button,Phân trang/lọc/tìm kiếm NhacLabs key.,Theo handler/customId và userId trong flow,src/events/client/interactionCreate.js,src/utils/nlListHandlers.js:188,nlkey_pick.{...},active,Pattern phát hiện trong handler/collector.
Khác/Nội bộ,customId:nlkey_prev.{...},button,Phân trang/lọc/tìm kiếm NhacLabs key.,Theo handler/customId và userId trong flow,src/events/client/interactionCreate.js,src/utils/nlListHandlers.js:173,nlkey_prev.{...},active,Pattern phát hiện trong handler/collector.
Khác/Nội bộ,customId:nlkey_search.{...},button,Phân trang/lọc/tìm kiếm NhacLabs key.,Theo handler/customId và userId trong flow,src/events/client/interactionCreate.js,src/utils/nlListHandlers.js:183,nlkey_search.{...},active,Pattern phát hiện trong handler/collector.
Khác/Nội bộ,customId:pick_number,button,Flow component pick_number.,Theo handler/customId và userId trong flow,src/events/client/interactionCreate.js,src/utils/nlListHandlers.js:329,pick_number,active,Pattern phát hiện trong handler/collector.
Khác/Nội bộ,customId:position1,button,Flow component position1.,Theo handler/customId và userId trong flow,src/events/client/interactionCreate.js,src/utils/bcqlHandlers.js:368,position1,active,Pattern phát hiện trong handler/collector.
Khác/Nội bộ,customId:position2,button,Flow component position2.,Theo handler/customId và userId trong flow,src/events/client/interactionCreate.js,src/utils/bcqlHandlers.js:376,position2,active,Pattern phát hiện trong handler/collector.
Khác/Nội bộ,customId:room_name,button,Flow component room_name.,Theo handler/customId và userId trong flow,src/events/client/interactionCreate.js,src/utils/boosterVoiceHandlers.js:676,room_name,active,Pattern phát hiện trong handler/collector.
Khác/Nội bộ,customId:schedule_english,button,Flow component schedule_english.,Theo handler/customId và userId trong flow,src/events/client/interactionCreate.js:204,src/events/client/interactionCreate.js:204,schedule_english,active,Route trực tiếp trong interactionCreate.
Khác/Nội bộ,customId:search_query,button,Flow component search_query.,Theo handler/customId và userId trong flow,src/events/client/interactionCreate.js,src/utils/nlListHandlers.js:310,search_query,active,Pattern phát hiện trong handler/collector.
Khác/Nội bộ,customId:serverbot_*,button,Flow component serverbot_*.,Theo handler/customId và userId trong flow,src/events/client/interactionCreate.js:173,src/events/client/interactionCreate.js:173,serverbot_*,active,Route trực tiếp trong interactionCreate.
Khác/Nội bộ,customId:serverbot_invite_select_*,select,Flow component serverbot_invite_select_*.,Theo handler/customId và userId trong flow,src/events/client/interactionCreate.js:325,src/events/client/interactionCreate.js:325,serverbot_invite_select_*,active,Route trực tiếp trong interactionCreate.
Khác/Nội bộ,customId:team,button,Flow component team.,Theo handler/customId và userId trong flow,src/events/client/interactionCreate.js,src/utils/bcqlHandlers.js:408,team,active,Pattern phát hiện trong handler/collector.
Khác/Nội bộ,customId:user_id,button,Flow component user_id.,Theo handler/customId và userId trong flow,src/events/client/interactionCreate.js,src/utils/bcqlHandlers.js:400,user_id,active,Pattern phát hiện trong handler/collector.
Khác/Nội bộ,customId:user_input,button,Flow component user_input.,Theo handler/customId và userId trong flow,src/events/client/interactionCreate.js,src/utils/boosterVoiceHandlers.js:342,user_input,active,Pattern phát hiện trong handler/collector.
Khác/Nội bộ,customId:vote*,button,Nút/select cho hệ thống vote.,Theo handler/customId và userId trong flow,src/events/client/interactionCreate.js:120,src/events/client/interactionCreate.js:120,vote*,active,Route trực tiếp trong interactionCreate.
Khác/Nội bộ,customId:votecustom_*,button,Nút/select cho hệ thống vote.,Theo handler/customId và userId trong flow,src/events/client/interactionCreate.js,src/utils/voteHandlers.js:71,votecustom_*,active,Pattern phát hiện trong handler/collector.
Khác/Nội bộ,customId:votecustom_select,select,Nút/select cho hệ thống vote.,Theo handler/customId và userId trong flow,src/events/client/interactionCreate.js:274,src/events/client/interactionCreate.js:274,votecustom_select,active,Route trực tiếp trong interactionCreate.
Khác/Nội bộ,customId:voteevent_*,button,Nút/select cho hệ thống vote.,Theo handler/customId và userId trong flow,src/events/client/interactionCreate.js:260,src/events/client/interactionCreate.js:260,voteevent_*,active,Route trực tiếp trong interactionCreate.
Khác/Nội bộ,customId:voteevent_*,button,Nút/select cho hệ thống vote.,Theo handler/customId và userId trong flow,src/events/client/interactionCreate.js,src/utils/voteHandlers.js:41,voteevent_*,active,Pattern phát hiện trong handler/collector.
Khác/Nội bộ,customId:votegio_*,button,Nút/select cho hệ thống vote.,Theo handler/customId và userId trong flow,src/events/client/interactionCreate.js:295,src/events/client/interactionCreate.js:295,votegio_*,active,Route trực tiếp trong interactionCreate.
Khác/Nội bộ,customId:votegio_*,button,Nút/select cho hệ thống vote.,Theo handler/customId và userId trong flow,src/events/client/interactionCreate.js,src/utils/voteHandlers.js:61,votegio_*,active,Pattern phát hiện trong handler/collector.
Khác/Nội bộ,customId:votengay_*,button,Nút/select cho hệ thống vote.,Theo handler/customId và userId trong flow,src/events/client/interactionCreate.js:302,src/events/client/interactionCreate.js:302,votengay_*,active,Route trực tiếp trong interactionCreate.
Khác/Nội bộ,customId:votengay_*,button,Nút/select cho hệ thống vote.,Theo handler/customId và userId trong flow,src/events/client/interactionCreate.js,src/utils/voteHandlers.js:66,votengay_*,active,Pattern phát hiện trong handler/collector.
Khác/Nội bộ,customId:votepvp_*,button,Nút/select cho hệ thống vote.,Theo handler/customId và userId trong flow,src/events/client/interactionCreate.js:288,src/events/client/interactionCreate.js:288,votepvp_*,active,Route trực tiếp trong interactionCreate.
Khác/Nội bộ,customId:votepvp_*,button,Nút/select cho hệ thống vote.,Theo handler/customId và userId trong flow,src/events/client/interactionCreate.js,src/utils/voteHandlers.js:56,votepvp_*,active,Pattern phát hiện trong handler/collector.
Khác/Nội bộ,customId:voteyentiec_*,button,Nút/select cho hệ thống vote.,Theo handler/customId và userId trong flow,src/events/client/interactionCreate.js,src/utils/voteHandlers.js:46,voteyentiec_*,active,Pattern phát hiện trong handler/collector.
Khác/Nội bộ,customId:voteyentiec_time,button,Nút/select cho hệ thống vote.,Theo handler/customId và userId trong flow,src/events/client/interactionCreate.js:267,src/events/client/interactionCreate.js:267,voteyentiec_time,active,Route trực tiếp trong interactionCreate.
Khác/Nội bộ,customId:yentiec_time_confirm_*,button,Xác nhận/đổi giờ nhắc Yến Tiệc.,Theo handler/customId và userId trong flow,src/events/client/interactionCreate.js:94,src/events/client/interactionCreate.js:94,yentiec_time_confirm_*,active,Route trực tiếp trong interactionCreate.
Khác/Nội bộ,customId:yentiec_time_confirm_*,button,Xác nhận/đổi giờ nhắc Yến Tiệc.,Theo handler/customId và userId trong flow,src/events/client/interactionCreate.js,src/utils/thongbaoHandlers.js:388,yentiec_time_confirm_*,active,Pattern phát hiện trong handler/collector.
Khác/Nội bộ,customId:yentiec_weekday_*,button,Xác nhận/đổi giờ nhắc Yến Tiệc.,Theo handler/customId và userId trong flow,src/events/client/interactionCreate.js:95,src/events/client/interactionCreate.js:95,yentiec_weekday_*,active,Route trực tiếp trong interactionCreate.
Khác/Nội bộ,customId:yentiec_weekday_confirm_*,button,Xác nhận/đổi giờ nhắc Yến Tiệc.,Theo handler/customId và userId trong flow,src/events/client/interactionCreate.js,src/utils/thongbaoHandlers.js:391,yentiec_weekday_confirm_*,active,Pattern phát hiện trong handler/collector.
Khác/Nội bộ,customId:yentiec_weekend_*,button,Xác nhận/đổi giờ nhắc Yến Tiệc.,Theo handler/customId và userId trong flow,src/events/client/interactionCreate.js:95,src/events/client/interactionCreate.js:95,yentiec_weekend_*,active,Route trực tiếp trong interactionCreate.
